Nome EC,UF EC,Cidade EC,Logradouro EC,Desvio de Preço (%),Blacklist,Preço por Litro,Mercadoria
BELLAS E BARCELOS,RJ,ARARUAMA,"Rua ROD AMARAL PEIXOTO KM 86, S/","2,78%",✅ Dentro da média,6.39,Gasolina Comum
COMERCIAL DE COMBUSTIVEIS CEM PO,CE,VARZEA ALEGRE,"Área RUA DUVAL SOARES, S/N","2,78%",✅ Dentro da média,6.39,Gasolina Comum
MACUCO AUTO POSTO,PR,CAMPO MOURAO,"Rua R. PION ALBERTO TANIGUT 34,","2,78%",✅ Dentro da média,6.39,Gasolina Comum
PB COMBUSTIVEIS LTDA,RN,PARNAMIRIM,"Área AV PILOTO PEREIRA TIM, 316,","2,78%",✅ Dentro da média,6.39,Gasolina Comum
POSTO A P SAVIO GAMA,RJ,VOLTA REDONDA,Área PRACA SAVIO COTA DE ALMEIDA,"2,78%",✅ Dentro da média,6.39,Gasolina Comum
POSTO BOM JESUS,PE,CARPINA,"Rua RODOVIA BR-408 S/N, S/N","2,78%",✅ Dentro da média,6.39,Gasolina Comum
POSTO BRAGA DE CABO FRIO EIRELI,RJ,CABO FRIO,"Rua AVENIDA TEIXEIRA E SOUZA, 22","2,78%",✅ Dentro da média,6.39,Gasolina Comum
POSTO CAJUAPARA II,MA,ACAILANDIA,"Avenida SANTA LUZIA, 18","2,78%",✅ Dentro da média,6.39,Gasolina Comum
POSTO CARAVELAS,RJ,BARRA MANSA,"Área VIA SERGIO BRAGA 1600, S/N","2,78%",✅ Dentro da média,6.39,Gasolina Comum
POSTO DO CABO,RJ,CABO FRIO,"Rua AV.  AMERICA CENTRAL 2270, S","2,78%",✅ Dentro da média,6.39,Gasolina Comum
POSTO NOVO TEMPO,CE,LIMOEIRO DO NORTE,Rua R SABINO ROBERTO DE FREITAS,"2,78%",✅ Dentro da média,6.39,Gasolina Comum
POSTO PRATA,RJ,TERESOPOLIS,"Rua ROD BR 116 KM 76, S/N","2,78%",✅ Dentro da média,6.39,Gasolina Comum
POSTO SAO DOMINGOS,CE,SOBRAL,"Rua AV DR GUARANI, S/N","2,78%",✅ Dentro da média,6.39,Gasolina Comum
POSTO SAO DOMINGOS CORACAO,CE,SOBRAL,"Rua AV.  JOSE EUCLIDES FERREIRA,","2,78%",✅ Dentro da média,6.39,Gasolina Comum
POSTO SAO MATHEUS 03,CE,LIMOEIRO DO NORTE,"Rua CORONEL ANTONIO JOAQUIM, S/N","2,78%",✅ Dentro da média,6.39,Gasolina Comum
POSTO SUINA,RJ,VOLTA REDONDA,"Rua AV. N SRA AMPARO 875, S/N","2,78%",✅ Dentro da média,6.39,Gasolina Comum
POSTO TIMBOZAO 5,RJ,DORES DE MACABU,"Rua ROD BR 101, S/N","2,78%",✅ Dentro da média,6.39,Gasolina Comum
POSTOS ALPA-SHELL,MG,ARAXA,"Rua AV MINISTRO OLAVO DRUOM 500,","2,78%",✅ Dentro da média,6.39,Gasolina Comum
COMERCIAL DE COMBUSTIVEIS CEM PO,CE,VARZEA ALEGRE,"Área RUA NENEM MARINHEIRO, 1211,","2,78%",✅ Dentro da média,6.389999999999999,Gasolina Comum
POSTO DOM PEDRO SAO CRISTOVAO,SE,SAO CRISTOVAO,"Área RODOVIA BR 101 KM 1077, S/N","2,78%",✅ Dentro da média,6.389999999999999,Gasolina Comum
POSTO IPIRANGA,CE,ITAPAJE,"Rua BR 222 KM125 100, S/N","2,78%",✅ Dentro da média,6.389999999999999,Gasolina Comum
POSTO PORTAL DAS DUNAS,RJ,CABO FRIO,"Rua AV. TEIXEIRA E SOUZA, 2677,","2,78%",✅ Dentro da média,6.389999999999999,Gasolina Comum
POSTO SAO DOMINGOS II-SHELL,CE,SOBRAL,Rua AV D JOSE TUPINAMBA FROTA 14,"2,78%",✅ Dentro da média,6.389999999999999,Gasolina Comum
POSTO ITAJURU CABO FR-SHELL,RJ,CABO FRIO,"Rua AV.  JULIA KUBITSCHEK 03, S/","2,78%",✅ Dentro da média,6.389999999999998,Gasolina Comum
POSTO SOL NASCENTE,CE,MISSAO VELHA,"Rua RUA CORONEL JOSE DANTAS 613,","2,77%",✅ Dentro da média,6.3896482861400905,Gasolina Comum
POSTO ANEL VIARIO,CE,JUAZEIRO DO NORTE,"Avenida DO AGRICULTOR, 1575","2,77%",✅ Dentro da média,6.040000000000001,Diesel S10
POSTO NOVO BELLAS MACAE LTDA,RJ,MACAE,"Área RUA TELIO BARRETO, 559, S/N","2,71%",✅ Dentro da média,6.385558854379633,Gasolina Comum
EDU PETRO COMBUSTIVEIS,PE,CARPINA,Rua AV CONGRESSO EUCARISTICO INT,"2,67%",✅ Dentro da média,6.383196115379041,Gasolina Comum
POSTO ATUAL,PE,SANTA CRUZ DO CAPIBARIBE,Rua R MANOEL MONTEIRO DA PAIXAO,"2,65%",✅ Dentro da média,6.101695140891945,Diesel
REDE ARENA,DF,BRASILIA,"Rua QI 4 LOTE 41, S/N","2,62%",✅ Dentro da média,6.38038900028645,Gasolina Comum
POSTO DE COMBUSTIVEIS R13 SANTA,DF,BRASILIA,"Rua QUADRA AC 219 CONJUNTO A, LO","2,62%",✅ Dentro da média,6.380000000000001,Gasolina Comum
L.H.S.G COM COMBUSTIVEIS,PR,MARINGA,"Rua AV COLOMBO, S/N","2,62%",✅ Dentro da média,6.38,Gasolina Comum
POSTO PRINCESA NORTE,CE,SOBRAL,"Rua R MENINO DEUS, S/N","2,62%",✅ Dentro da média,6.38,Gasolina Comum
REDE A+,CE,SAO GONCALO DO AMARANTE,"Rua AV ANTONIO BRASILEIRO  908,","2,61%",✅ Dentro da média,6.379593619445499,Gasolina Comum
POSTO PONTO COM,RJ,ARARUAMA,"Rua AV GETULIO VARGAS 1320, S/N","2,60%",✅ Dentro da média,6.379130519354211,Gasolina Comum
SYAGRI AUTO POSTO,MG,NOVA PONTE,"Rua ROD MG 190, S/N","2,57%",✅ Dentro da média,4.42,Etanol
POSTO IGUATU,CE,IGUATU,"Rua AV CRUZEIRO DO SUL 996, S/N","2,52%",✅ Dentro da média,6.374349073030829,Gasolina Comum
J S BASTOS,CE,TAUA,"Rua BR 020 KM 76, S/N","2,51%",✅ Dentro da média,6.373361750497302,Gasolina Comum
POSTO ALIANCA,CE,FORTALEZA,"Rua AV.  ANTONIO SALES 1340, S/N","2,51%",✅ Dentro da média,6.373326959847037,Gasolina Comum
AUTO POSTO ESPERANCA,CE,ACOPIARA,Rua ROD CE 277 KM 3 ACOPIARA CAT,"2,51%",✅ Dentro da média,6.373292782781611,Gasolina Comum
POSTO TREVO LITORAL,RJ,MACAE,"Rua ROD RJ 168 N. 1178, S/N","2,49%",✅ Dentro da média,6.372259760956175,Gasolina Comum
AUTO POSTO ARENA,MG,NOVA PONTE,"Rua AV JOSE ANTONIO PEREIRA, S/N","2,48%",✅ Dentro da média,4.4162441803144015,Etanol
POSTO PROGRESSO,CE,MARANGUAPE,"Rua AV DR STENIO GOMES 991, S/N","2,47%",✅ Dentro da média,6.3707538280329805,Gasolina Comum
CARRETEIRO 04,MA,ACAILANDIA,"Rua ROD BR 1415 KM 10, S/N","2,45%",✅ Dentro da média,6.37,Gasolina Comum
FCNX CONBUSTIVEIS,MA,CAXIAS,"Rua ROD BR-316 KM 552, S/N","2,45%",✅ Dentro da média,6.37,Gasolina Comum
POSTO ESTRUTURANTE,CE,CAUCAIA,"Rua RODOVIA CE 085 - KM 02, S/N","2,45%",✅ Dentro da média,6.37,Gasolina Comum
POSTO PACATUBA,CE,PACATUBA,"Rua AVENIDA MENDEL STEINBRUCH, S","2,45%",✅ Dentro da média,6.09,Diesel
POSTO SAO DOMINGOS,CE,SOBRAL,"Rua AV DR GUARANI, S/N","2,45%",✅ Dentro da média,6.09,Diesel
MSL COMERCIO COMBUS,RJ,CAMPOS DOS GOYTACAZES,Rua AVENIDA SETE DE SETEMBRO   2,"2,45%",✅ Dentro da média,6.089999999999999,Diesel
AUTO POSTO MONTEIROS DOS LAGOS,RJ,SAO PEDRO DA ALDEIA,"Rua ROD AMARAL PEIXOTO KM 106, S","2,44%",✅ Dentro da média,6.369055679287305,Gasolina Comum
ALBUQUERQUE PNEUS PAR-SHELL,PE,CARPINA,"Rua ROD.  BR-408 KM 51,5, S/N","2,39%",✅ Dentro da média,6.3661779604319975,Gasolina Comum
POSTO VIA MAR,CE,PARACURU,"Rua AV. ANTONIO SALES 1460, S/N","2,39%",✅ Dentro da média,6.365989077090533,Gasolina Comum
POSTO MALACARNE,ES,VILA VELHA,"Avenida SERGIO CARDOSO, 00","2,31%",✅ Dentro da média,6.360979696526596,Gasolina Comum
POSTO SANTA TEREZA,CE,BARBALHA,"Avenida BEIRA BREJO, 54","2,29%",✅ Dentro da média,6.360000000000001,Gasolina Comum
AUTO POSTO GADELHA,CE,GADELHA,Área RODOVIA CE 060 IGUATUVARZEA,"2,29%",✅ Dentro da média,6.36,Gasolina Comum
PETROGAMA,DF,BRASILIA,"Rua QD 46 LT 24 PAG, S/N","2,29%",✅ Dentro da média,6.36,Gasolina Comum
P.CACIQUE 02,PI,TERESINA,"Rua AV. PRES KENNEDY 1944, S/N","2,29%",✅ Dentro da média,6.359563139025362,Gasolina Comum
POSTO DON INACIO-BANDEIRA BRANCA,MG,GUAXUPE,AV DONA FLORIANA 1709,"2,28%",✅ Dentro da média,6.08,Diesel
POSTO BOAVENTURA II,CE,FORTALEZA,"Rua AV JOSE BASTOS N3250, S/N","2,25%",✅ Dentro da média,6.357001338688085,Gasolina Comum
POSTO SAO PEDRO,CE,SOBRAL,Rua AV. SEN ERMIRIO DE MORAES 36,"2,19%",✅ Dentro da média,6.353668815071889,Gasolina Comum
POSTO GASOLINA CAMURI,RJ,VOLTA REDONDA,"Rua R.  FERNANDO FERRARI 898, S/","2,13%",✅ Dentro da média,6.35,Gasolina Comum
POSTO MOREIRA,GO,VILA BOA,"Rua ROD BR 20 KM 87, S/N","2,13%",✅ Dentro da média,6.35,Gasolina Comum
POSTO RAMOS,PI,IPIRANGA DO PIAUI,"Rua RODOVIA BR 316 KM 260 S/N, S","2,13%",✅ Dentro da média,6.35,Gasolina Comum
POSTO SAO JOAO,RJ,MACAE,"Rua R JOSE AGUIAR FRANCO 270, S/","2,13%",✅ Dentro da média,6.35,Gasolina Comum
POSTO PIONEIRO,CE,MARACANAU,"Rua ROD.  ANEL VIARIO S/N, S/N","2,11%",✅ Dentro da média,6.07,Diesel
AUTO POSTO DA SINHA,SP,TAUBATE,Rua AV.  CHARLES SCHNNEIDER N 20,"2,11%",✅ Dentro da média,4.4,Etanol
POSTO PARAISO DE MINAS GERAIS,MG,SAO SEBASTIAO DO PARAISO,"Rua RD BR491 KL 3 3001, S/N","2,11%",✅ Dentro da média,4.4,Etanol
POSTO CONFIANCA,CE,FORTALEZA,"Rua AV TREZE DE MAIO 233, S/N","2,05%",✅ Dentro da média,6.3447891929099995,Gasolina Comum
POSTO PRETOLINE,DF,BRASILIA,"Rua Q QI 1, 79","2,02%",✅ Dentro da média,6.342703417602995,Gasolina Comum
P.CACIQUE 14,PI,TERESINA,"Avenida DEPUTADO PAULO FERRAZ, 1","1,98%",✅ Dentro da média,6.34047921799253,Gasolina Comum
POSTO VILA,CE,FORTALEZA,"Rua AV DEDE BRASIL 1150, S/N","1,97%",✅ Dentro da média,6.34,Gasolina Comum
POSTO SAO CRISTOVAO,CE,FORTALEZA,"Rua ROD BR 116 KM 15, S/N","1,96%",✅ Dentro da média,6.3395170629002555,Gasolina Comum
POSTO PIONEIRO,CE,FORTALEZA,"Rua AV A 855 3 ETAPA, S/N","1,94%",✅ Dentro da média,5.991219120011695,Diesel S10
MM PETROLEO,CE,MARACANAU,"Avenida RADIALISTA JOAO RAMOS, 3","1,92%",✅ Dentro da média,5.990597806608844,Diesel S10
POSTO MARINA,CE,FORTALEZA,"Rua AV. PRES CASTELO BRANCO 240,","1,92%",✅ Dentro da média,6.336488670575187,Gasolina Comum
POSTO DESEMBARGADOR M-SHELL,CE,FORTALEZA,"Rua RUA CAROLINA SUCUPIRA, S/N","1,91%",✅ Dentro da média,5.990000000000001,Diesel S10
REDE CEARA OUTLET,CE,CAUCAIA,"Área ROD. BR 020, KM 14,5, 6354,","1,91%",✅ Dentro da média,5.990000000000001,Diesel S10
AUTO POSTO 101,RN,CANGUARETAMA,"Rua BR 101 SN KM 6970, SN, S/N","1,91%",✅ Dentro da média,5.99,Diesel S10
AUTO POSTO TIGRAO,CE,FORTALEZA,"Rua BR 116 KM 12    2928, S/N","1,91%",✅ Dentro da média,5.99,Diesel S10
POSTO ABC,MG,SAO SEBASTIAO DO PARAISO,"Área ROD BR 491, 100 A, S/N","1,91%",✅ Dentro da média,5.99,Diesel S10
POSTO ABN,CE,FORTALEZA,"Rua AV CESAR CALS 97, S/N","1,91%",✅ Dentro da média,5.99,Diesel S10
POSTO HOMERO,PI,TERESINA,"Avenida DOUTOR NICANOR BARRETO,","1,91%",✅ Dentro da média,5.99,Diesel S10
POSTO MONTEZUMA V,CE,FORTALEZA,"Rua RUA GRACA ARANHA 150, S/N","1,91%",✅ Dentro da média,5.99,Diesel S10
POSTO RESENDE,RJ,RESENDE,"Rua AV SATURNINO BRAGA, 212, S/N","1,91%",✅ Dentro da média,5.99,Diesel S10
POSTO SAO JOAO,CE,EUSEBIO,"Rua ROD CE040  QLM05 SN, S/N","1,91%",✅ Dentro da média,5.99,Diesel S10
POSTO BOAVENTURA,CE,FORTALEZA,"Rua AV.  GODOFREDO MACIEL, 6060,","1,91%",✅ Dentro da média,5.989999999999999,Diesel S10
SERVICAR SA,PE,JABOATAO DOS GUARARAPES,"Rua AV.  ARMINDO MOURA,461, S/N","1,91%",✅ Dentro da média,5.989999999999999,Diesel S10
POSTO QUERENCIA-SHELL,PR,SARANDI,"Rua AV.  ADEMAR BORNIA  841, S/N","1,89%",✅ Dentro da média,4.390771421116519,Etanol
POSTO OLD CAR PARA-SHELL,CE,FORTALEZA,"Rua RUA CARAPINIMA 2250, S/N","1,89%",✅ Dentro da média,6.334866392600206,Gasolina Comum
POSTO BEZERRA DE MENEZ,CE,FORTALEZA,"Rua AV.  BEZERRA DE MENEZES 216,","1,89%",✅ Dentro da média,6.334678772698809,Gasolina Comum
POSTO FREIRE,MG,UBERABA,"Área PC DOUTOR THOMAZ ULHOA, 500","1,89%",✅ Dentro da média,4.390508133208387,Etanol
POSTO JABURUNA,CE,SOBRAL,"Área ROD BR 222 232, S/N","1,89%",✅ Dentro da média,6.334618225463946,Gasolina Comum
AUTO POSTO 2000,MG,UBERABA,"Rua AVENIDA DEPUTADO JOSE MARCU,","1,87%",✅ Dentro da média,4.390000000000001,Etanol
AUTO POSTO KAKOGAWA,PR,MARINGA,"Rua AV. AMERICO BELAY N 1676, S/","1,87%",✅ Dentro da média,4.390000000000001,Etanol
BARE AUTO POSTO LTDA,SP,SAO SEBASTIAO,"Rua R SEBASTIANA LEITE BUENO, S/","1,87%",✅ Dentro da média,4.390000000000001,Etanol
POSTO CORCOVADO,PR,MARINGA,"Rua AV  PEDRO TAQUES, S/N","1,87%",✅ Dentro da média,4.390000000000001,Etanol
POSTO SALLES LTDA,SP,SAO SEBASTIAO,"Rua AV GUARDA MOR LOBO VIANA, 13","1,87%",✅ Dentro da média,4.390000000000001,Etanol
POSTO TREVO CARAGUA,SP,CARAGUATATUBA,"Rua PC PRIMEIRO CENTENARIO 60, S","1,87%",✅ Dentro da média,4.390000000000001,Etanol
......,SP,CARAGUATATUBA,"Área Avenida Miguel Varlez, 401,","1,87%",✅ Dentro da média,4.39,Etanol
AE RODRIGUES GOMES,PR,MARINGA,AV MANDACARU 1275,"1,87%",✅ Dentro da média,4.39,Etanol
AEROCAR COMERCIO VAREJISTA DE,SP,GUARULHOS,"Rua RUA CACHOEIRA, S/N","1,87%",✅ Dentro da média,4.39,Etanol
AUTO P NOVA GERACAO,SP,SAO JOSE DOS CAMPOS,"Rua AV.  NAIR TOLEDO DE MIRA, 43","1,87%",✅ Dentro da média,4.39,Etanol
AUTO POSTO ASA DELTA,SP,CARAGUATATUBA,Rua R BENEDITO R DOS SANTOS FILH,"1,87%",✅ Dentro da média,4.39,Etanol
AUTO POSTO BCA LUIZIANA LTDA,PR,MARINGA,"Área AVENIDA MANDACARU, 935, S/N","1,87%",✅ Dentro da média,4.39,Etanol
AUTO POSTO FLEXEIRA,SP,CARAGUATATUBA,"Rua AV.  JOSE HERCULANO 7167, S/","1,87%",✅ Dentro da média,4.39,Etanol
AUTO POSTO MESQUITA LTDA,SP,CAMPINAS,"Avenida JULIO MESQUITA, 990","1,87%",✅ Dentro da média,4.39,Etanol
AUTO POSTO PIRAPORINHA SOLIDAO,SP,DIADEMA,"Rua AV PIRAPORINHA 1461, S/N","1,87%",✅ Dentro da média,4.39,Etanol
AUTO POSTO PRAIA DA EN,SP,SAO PAULO,Área AV VEREADOR EMILIO GRANATO,"1,87%",✅ Dentro da média,4.39,Etanol
AUTO POSTO SS NOVA MAUA,SP,SANTO ANDRE,Área R GIOVANNI BATTISTA PIRELLI,"1,87%",✅ Dentro da média,4.39,Etanol
AUTO POSTO VILA NOVA,MG,CATAGUASES,"Rua FRANCISCO VALENTE, 22","1,87%",✅ Dentro da média,4.39,Etanol
CENTRO AUTOMOTIVO BAP RODOANEL,SP,MAUA,"Avenida DOS ESTADOS, 10300","1,87%",✅ Dentro da média,4.39,Etanol
CENTRO AUTOMOTIVO LUIZ XII LTDA,SP,GUARULHOS,"Rua AV SALGADO FILHO 1595, S/N","1,87%",✅ Dentro da média,4.39,Etanol
ESTACAO COMERCIO DE COMBUSTIVEI,PR,ARAPONGAS,"Rua AVENIDA  ARAPONGAS, S/N","1,87%",✅ Dentro da média,4.39,Etanol
NOVO GUARUJA AUTO POSTO LTDA,SP,GUARUJA,Área R MARIA ALZIRA DA CONCEICAO,"1,87%",✅ Dentro da média,4.39,Etanol
PAULO BORGES COMERCIO DE COMBUST,SP,ITUVERAVA,"Área AVENIDA DOUTOR PAULO BORGE,","1,87%",✅ Dentro da média,4.39,Etanol
POSTO BCA LUIZIANA,PR,MARINGA,"Área AV.  PEDRO TAQUES,2041, S/N","1,87%",✅ Dentro da média,4.39,Etanol
POSTO CATEDRAL-SHELL,PR,MARINGA,"Rua AV CERRO AZUL 7, S/N","1,87%",✅ Dentro da média,4.39,Etanol
POSTO CITY AMERICA,SP,SAO PAULO,Rua AV.  OTAVIANO ALVES DE LIM 2,"1,87%",✅ Dentro da média,4.39,Etanol
POSTO CPA 2,PR,MARINGA,Área Avenida Prefeito Sincler Sa,"1,87%",✅ Dentro da média,4.39,Etanol
POSTO OASIS,PR,MARINGA,AV PARANA 562,"1,87%",✅ Dentro da média,4.39,Etanol
POSTO OSCAR,MG,UBERABA,"Área AV GUILHERME FERREIRA 1330,","1,87%",✅ Dentro da média,4.39,Etanol
POSTO PALMA,SP,ORLANDIA,"Rua R.UM 700, S/N","1,87%",✅ Dentro da média,4.39,Etanol
POSTO SAMEIRO,PR,MARINGA,"Rua AV PARANA 1145, S/N","1,87%",✅ Dentro da média,4.39,Etanol
POSTO SANTO ANTONIO,SP,CARAGUATATUBA,"Área AV MIGUEL VARLEZ 700, S/N","1,87%",✅ Dentro da média,4.39,Etanol
POSTO SAO JOAQUIM,SP,SAO JOAQUIM DA BARRA,R ALAGOAS 390,"1,87%",✅ Dentro da média,4.39,Etanol
POSTO SERRANO,MG,SERRA DO SALITRE,"Avenida JOAO JOSE MACHADO, 790","1,87%",✅ Dentro da média,4.39,Etanol
POSTO TIGRE DO VALE//ESSO,SP,MOGI DAS CRUZES,"Rua ROD.  MOGI-DUTRA 600 KM 1, S","1,87%",✅ Dentro da média,4.39,Etanol
POSTO TRABUCO,PR,MARINGA,"Rua AV PARANA 1661, S/N","1,87%",✅ Dentro da média,4.39,Etanol
POSTO UNIDO,PR,MARINGA,"Rua AV BRASIL 7442, S/N","1,87%",✅ Dentro da média,4.39,Etanol
S C S COMERCIO DE COMBUSTIVEIS,PR,ARAPONGAS,"Rua AV.  ARAPONGAS 941, S/N","1,87%",✅ Dentro da média,4.39,Etanol
AUTO POSTO 2000,MG,CAMPOS ALTOS,Área AV NILTON FERREIRA DE PAIV,"1,87%",✅ Dentro da média,4.389999999999999,Etanol
AUTO POSTOJOTI,SP,CARAGUATATUBA,"Área AV PRES CAMPOS SALLES 450,","1,87%",✅ Dentro da média,4.389999999999999,Etanol
POSTO FORMULA 1,PR,MARINGA,"Rua PC.  LUIZ GONZAGA 36, S/N","1,87%",✅ Dentro da média,4.389999999999999,Etanol
POSTO NEVADA,SP,CARAPICUIBA,"Rua AV DEP EMILIO CARLOS 335, S/","1,87%",✅ Dentro da média,4.389999999999999,Etanol
AUTO POSTO JOTI,SP,CARAGUATATUBA,"Rua AV PRES CAMPOS SALLES 450, S","1,86%",✅ Dentro da média,4.389355202640414,Etanol
REDE MONTE CARLO,SP,GUARA,MARG EXPEDICIONARIOS D 350,"1,85%",✅ Dentro da média,4.3889863362419295,Etanol
JEC COMERCIO DE COMBUSTIVEL LTDA,CE,FORTALEZA,"Área AVENIDA PRES CASTELO BRANC,","1,81%",✅ Dentro da média,6.330000000000001,Gasolina Comum
POSTO MODELO ENCRUZIL-SHELL,CE,FORTALEZA,"Avenida TREZE DE MAIO, 1488","1,81%",✅ Dentro da média,6.33,Gasolina Comum
P.CACIQUE 11,PI,TERESINA,"Avenida DEPUTADO PAULO FERRAZ, 2","1,78%",✅ Dentro da média,6.328227911646586,Gasolina Comum
P.CACIQUE 15,PI,TERESINA,"Avenida MARANHAO, 3399","1,78%",✅ Dentro da média,6.327976880246461,Gasolina Comum
NARCISO AUTOPOSTO,ES,VILA VELHA,"Rua R SOBREIRO 395, S/N","1,78%",✅ Dentro da média,6.05,Diesel
AUTO POSTO TRIVELA 2 LTDA,ES,SERRA,"Área RUA JOSE RONALDO BARBOSA, 8","1,77%",✅ Dentro da média,6.327410960356158,Gasolina Comum
POSTO 3 D ANTA,RJ,ANTA,"Rua ROD BR 393 KM 37, S/N","1,74%",✅ Dentro da média,5.98,Diesel S10
L.H.S.G COM COMBUSTIVEIS,PR,MARINGA,"Rua AV COLOMBO, S/N","1,64%",✅ Dentro da média,4.380000000000001,Etanol
AUTO POSTO SHOP CAR IV,MA,IMPERATRIZ,"Rua R RIO GRANDE DO NORTE, 436","1,63%",✅ Dentro da média,6.31849805710424,Gasolina Comum
POSTO ANEL VIARIO,CE,JUAZEIRO DO NORTE,"Avenida DO AGRICULTOR, 1575","1,61%",✅ Dentro da média,6.040000000000001,Diesel
POSTO FREITAS,CE,ACARAU,Rua AV. VOLUNTARIO DA PATRIA 230,"1,57%",✅ Dentro da média,5.970000000000001,Diesel S10
POSTO MAGNOLIA,MA,MARANHAO,"Rua BR 316 KM 265 S/N, S/N","1,57%",✅ Dentro da média,5.97,Diesel S10
POSTO SETE CARIOCA,CE,HORIZONTE,ROD BR 116 42,"1,57%",✅ Dentro da média,5.97,Diesel S10
POSTO VILA,CE,FORTALEZA,"Rua AV DOS EXPEDICIONARIOS 9977,","1,57%",✅ Dentro da média,5.97,Diesel S10
POSTO SAO VICENTE BARR,RJ,BARRA DO PIRAI,"Rua AV PREF ARTUR DA COSTA 988,","1,51%",✅ Dentro da média,6.3114443625644805,Gasolina Comum
POSTO CAUCAIA,CE,CAUCAIA,"Rua R CEL CORREIA 1701, S/N","1,46%",✅ Dentro da média,6.308422322887274,Gasolina Comum
POSTO PARIS,MG,UBERLANDIA,Rua PC.  CLARINDA DE FREITAS 375,"1,46%",✅ Dentro da média,4.3719651927720875,Etanol
LUA PETROLEO-SHELL,CE,EUSEBIO,ROD CE 40 6,"1,44%",✅ Dentro da média,6.3069856693084345,Gasolina Comum
POSTO CEARA,CE,MARACANAU,Área RUA VICENTE ALVES DE PAULA,"1,44%",✅ Dentro da média,6.306786407766991,Gasolina Comum
POSTO SANTA INES,CE,MARACANAU,"Rua DR MENDEL STEINBRUCH, S/N","1,43%",✅ Dentro da média,6.306042659619649,Gasolina Comum
PEISINO AUTO POSTO E SERVICOS L,ES,VILA VELHA,"Rua AVENIDA CARLOS LINDENBERG, 5","1,41%",✅ Dentro da média,6.305303189624956,Gasolina Comum
AUTO POSTO PE DE CEDRO,MS,SIDROLANDIA,Rua AV DURVALINO DOS SANTOS 2080,"1,41%",✅ Dentro da média,4.37,Etanol
MEARIM DERIVADOS DE PETROLEO LT,MA,ARARI,"Rua RODOVIA BR 222 KM 30 S/N, S/","1,38%",✅ Dentro da média,6.303077634270025,Gasolina Comum
CAJUEIRO COMERCIO DE COMBUSTIVEI,PI,FLORIANO,"Rua RD 230, S/N","1,33%",✅ Dentro da média,6.3,Gasolina Comum
CARIRI COMBUSTIVEIS,CE,JUAZEIRO DO NORTE,"Área AVENIDA GOV VIRGILIO TAVOR,","1,33%",✅ Dentro da média,6.3,Gasolina Comum
LEAL XI COMERCIO DE PETROLEO LTD,CE,MARACANAU,Área Avenida Radialista João Ram,"1,33%",✅ Dentro da média,6.3,Gasolina Comum
POSTO IMACULADA CONCEI,CE,JUAZEIRO DO NORTE,"Rua AV CASTELO BRANCO 2215, S/N","1,33%",✅ Dentro da média,6.3,Gasolina Comum
POSTO PETROBRAS,CE,CRATEUS,"Rua R FR VIDAL DA PENHA 1388, S/","1,33%",✅ Dentro da média,6.3,Gasolina Comum
POSTO TALISMA,CE,CARIRIACU,Rua R JOSE JOAQUIM DE SANTANA 13,"1,33%",✅ Dentro da média,6.3,Gasolina Comum
POSTO VIA SUL - TEXACO,AL,SAO MIGUEL DOS CAMPOS,Rua AV.JOAO SORIANO BOMFIM SN KM,"1,33%",✅ Dentro da média,6.3,Gasolina Comum
CAMINHO DO SOL PARA-SHELL,CE,FORTALEZA,"Rua RUA CEL ERNESTO MATOS, 582,","1,33%",✅ Dentro da média,6.299999999999999,Gasolina Comum
POSTO IMACULADA CONCEI,CE,JUAZEIRO DO NORTE,"Rua AV CASTELO BRANCO 2215, S/N","1,27%",✅ Dentro da média,5.951864121280179,Diesel S10
POSTO VILA,CE,FORTALEZA,"Rua AV DOS EXPEDICIONARIOS 9977,","1,24%",✅ Dentro da média,6.29437166567872,Gasolina Comum
LUA PETROLEO-SHELL,CE,EUSEBIO,ROD CE 40 6,"1,23%",✅ Dentro da média,5.95,Diesel S10
POSTO BOAVENTURA II,CE,FORTALEZA,"Rua AV JOSE BASTOS N3250, S/N","1,23%",✅ Dentro da média,5.95,Diesel S10
AUTO POSTO PARAISO,SP,SAO VICENTE,Rua AV CAP LUIS HORNEAUX MOURA 8,"1,21%",✅ Dentro da média,4.361273882687403,Etanol
POSTO SANTA EDWIRGE III,CE,FORTALEZA,"Rua RUA CONEGO DE CASTRO 4670, S","1,20%",✅ Dentro da média,6.292092053270892,Gasolina Comum
POSTO SOL NASCENTE,RJ,PINHEIRAL,"Rua AV NEWTON PENA BOTELHO, S/N","1,18%",✅ Dentro da média,6.290720900671872,Gasolina Comum
POSTO PARATY,SP,ALTINOPOLIS,"Rua ROD SP 351 KM 24.2, S/N","1,18%",✅ Dentro da média,4.36,Etanol
AUTO POSTO ESTRELA DE FRIBURGO,RJ,NOVA FRIBURGO,Área R. VER JOSE MARTINS DA COST,"1,17%",✅ Dentro da média,6.290000000000001,Gasolina Comum
POSTO PAGUE MENOS,CE,ANTONINA DO NORTE,"Rua AV NELITO MENDES, S/N","1,17%",✅ Dentro da média,6.290000000000001,Gasolina Comum
POSTO TIGRAO,RJ,CAMPOS DOS GOYTACAZES,"Rua ROD BR 101 KM 80,5, S/N","1,17%",✅ Dentro da média,6.290000000000001,Gasolina Comum
AUTO POSTO CINESE,SP,GUARUJA,"Rua AV. CD AUREA GONZALES 570, S","1,17%",✅ Dentro da média,6.29,Gasolina Comum
